group,cluster,year,category,avg_exp_share,avg_exp_growth
Canada,,2020,CP01,0.008732251635832964,308.3709129140122
Canada,,2020,CP041,0.004853395579223498,171.36703632642943
Canada,,2021,CP01,0.008168753814155674,299.1084020606695
Canada,,2021,CP041,0.004697354768020283,174.26739168714977
Canada,,2022,CP01,0.007664556273504029,284.36253649214166
Canada,,2022,CP041,0.004612728040119566,170.45167324860935
Canada,,2023,CP01,0.00761191326073468,258.3199774747271
Canada,,2023,CP041,0.004680607134307263,-0.23672745175003754
Cluster 0,0.0,2020,CP01,0.011529616223630766,2919.0073340547997
Cluster 0,0.0,2020,CP02,0.0034768430580153333,588.5369601723867
Cluster 0,0.0,2020,CP03,0.0028447949897201503,552.8211255611592
Cluster 0,0.0,2020,CP04,0.01634611659009306,2750.5913601889606
Cluster 0,0.0,2020,CP041,0.002652129769643742,205.35346640920932
Cluster 0,0.0,2020,CP042,0.009985786340127412,1202.5517328177377
Cluster 0,0.0,2020,CP043,0.0005787366240023472,32.199414811852705
Cluster 0,0.0,2020,CP044,0.0011455756199635465,88.87916470092125
Cluster 0,0.0,2020,CP045,0.002927379872781262,210.59865385493717
Cluster 0,0.0,2020,CP05,0.0040069946291044975,931.7437181015545
Cluster 0,0.0,2020,CP06,0.004216703732475155,1128.0968211390114
Cluster 0,0.0,2020,CP07,0.007782688412294457,1464.5045252545196
Cluster 0,0.0,2020,CP08,0.0021438127648087803,574.8142930000504
Cluster 0,0.0,2020,CP09,0.005466714989333071,1080.9511610600953
Cluster 0,0.0,2020,CP10,0.0009577644700727375,430.86518292719416
Cluster 0,0.0,2020,CP11,0.004229201389054983,675.6644514406468
Cluster 0,0.0,2020,CP12,0.0076878350747855186,1908.1484214486884
Cluster 0,0.0,2020,_T,0.06841791660226038,5291.842962812511
Cluster 0,0.0,2021,CP01,0.011072301826138546,2993.734988917605
Cluster 0,0.0,2021,CP02,0.003376882059933117,638.7453209768922
Cluster 0,0.0,2021,CP03,0.003002208239823375,659.7537791175358
Cluster 0,0.0,2021,CP04,0.015782880774156217,2579.404392917233
Cluster 0,0.0,2021,CP041,0.0026334045919283616,168.85939765189718
Cluster 0,0.0,2021,CP042,0.009583649704603155,711.9366180650842
Cluster 0,0.0,2021,CP043,0.0005830185488315978,30.934127577649516
Cluster 0,0.0,2021,CP044,0.0011040011196963718,79.37320442914849
Cluster 0,0.0,2021,CP045,0.0029021471021111484,217.7717047124997
Cluster 0,0.0,2021,CP05,0.0040608819824077816,1058.2219015614787
Cluster 0,0.0,2021,CP06,0.004353844235807973,1350.9560598224264
Cluster 0,0.0,2021,CP07,0.00810420475188688,1684.865437005732
Cluster 0,0.0,2021,CP08,0.0020529349903216066,674.5512345085317
Cluster 0,0.0,2021,CP09,0.005676552928602692,1164.8182469811159
Cluster 0,0.0,2021,CP10,0.0009203432298723066,437.77832662793014
Cluster 0,0.0,2021,CP11,0.004669799962637841,790.5222398224385
Cluster 0,0.0,2021,CP12,0.007578400769719181,1886.9292805563853
Cluster 0,0.0,2021,_T,0.06843957353465992,4413.04644917531
Cluster 0,0.0,2022,CP01,0.01028524659537714,2422.6243984250227
Cluster 0,0.0,2022,CP02,0.003319735340758479,571.5990284609207
Cluster 0,0.0,2022,CP03,0.003148775488585836,693.6903703452973
Cluster 0,0.0,2022,CP04,0.015559581595211718,2412.633458387982
Cluster 0,0.0,2022,CP041,0.002552366191059112,173.22194086851755
Cluster 0,0.0,2022,CP042,0.00941572992868323,1385.9086753269198
Cluster 0,0.0,2022,CP043,0.0005787381236356155,19.27647659651276
Cluster 0,0.0,2022,CP044,0.0010663819802364846,57.396111996779005
Cluster 0,0.0,2022,CP045,0.00295907898014837,190.00787507359684
Cluster 0,0.0,2022,CP05,0.0039053597872824655,797.5368420627608
Cluster 0,0.0,2022,CP06,0.004256002945677051,1289.3888617082616
Cluster 0,0.0,2022,CP07,0.008583639610508623,1740.5666022492524
Cluster 0,0.0,2022,CP08,0.0019398465802033553,626.6228957555245
Cluster 0,0.0,2022,CP09,0.006156081747979945,1132.3063592960261
Cluster 0,0.0,2022,CP10,0.0008215731153985753,394.14225691290414
Cluster 0,0.0,2022,CP11,0.006026090756839497,942.2234068959963
Cluster 0,0.0,2022,CP12,0.007546110446365478,1988.710568657427
Cluster 0,0.0,2022,_T,0.06973743582737159,5591.0205834513445
Cluster 0,0.0,2023,CP01,0.011452266691447133,3909.902783575323
Cluster 0,0.0,2023,CP02,0.0035808736922292835,734.8113117407387
Cluster 0,0.0,2023,CP03,0.0032272940662627,967.9971690587709
Cluster 0,0.0,2023,CP04,0.016046196742889228,3581.4480511040547
Cluster 0,0.0,2023,CP041,0.0024266433344804616,214.7202333625926
Cluster 0,0.0,2023,CP042,0.009863963244347063,1505.990748438341
Cluster 0,0.0,2023,CP043,0.0007928493828681457,16.70886192490685
Cluster 0,0.0,2023,CP044,0.0009514015661125273,22.267255601702193
Cluster 0,0.0,2023,CP045,0.0028411872775338087,119.9662882659757
Cluster 0,0.0,2023,CP05,0.004133481658507389,1287.1526295738474
Cluster 0,0.0,2023,CP06,0.00452243741024072,1899.199820295392
Cluster 0,0.0,2023,CP07,0.00970393516302045,2568.167123136132
Cluster 0,0.0,2023,CP08,0.002038638559413456,1124.3900035101262
Cluster 0,0.0,2023,CP09,0.006494883314367897,1707.6659297039562
Cluster 0,0.0,2023,CP10,0.0009871242012758825,699.4391646516822
Cluster 0,0.0,2023,CP11,0.006602946712635683,1410.101411740382
Cluster 0,0.0,2023,CP12,0.008506959606108309,3334.203232936301
Cluster 0,0.0,2023,_T,0.11202667711634298,7718.046002505735
Cluster 0,0.0,2024,CP01,0.012236235677357115,3382.4400179325844
Cluster 0,0.0,2024,CP02,0.004133912137651664,239.94291730979953
Cluster 0,0.0,2024,CP03,0.002486699633922248,247.953021722425
Cluster 0,0.0,2024,CP04,0.01496468337602756,1857.7355701460333
Cluster 0,0.0,2024,CP041,0.0020269643258264804,379.7028198748054
Cluster 0,0.0,2024,CP042,0.008920419606541784,2043.7253221182036
Cluster 0,0.0,2024,CP043,0.0009160258134618064,0.14203264561357545
Cluster 0,0.0,2024,CP044,0.0008933075845174546,26.137081662507548
Cluster 0,0.0,2024,CP045,0.0029785948624971434,336.32024743617615
Cluster 0,0.0,2024,CP05,0.004513300646696758,877.7474531259517
Cluster 0,0.0,2024,CP06,0.0024717581540641153,478.59876789950334
Cluster 0,0.0,2024,CP07,0.009159433501086943,1943.8473870111907
Cluster 0,0.0,2024,CP08,0.0015735004952417452,346.1929904931006
Cluster 0,0.0,2024,CP09,0.005164366314309436,770.5385672803384
Cluster 0,0.0,2024,CP10,0.0008830624048633118,164.79252278386068
Cluster 0,0.0,2024,CP11,0.004375266483970954,621.8908823733871
Cluster 0,0.0,2024,CP12,0.008033635005672732,1600.5704736902842
Cluster 0,0.0,2024,_T,0.13704699152147987,5690.1912782177
Cluster 1,1.0,2020,CP01,0.06972517716224337,0.22858946444267822
Cluster 1,1.0,2020,CP02,0.010298656390633258,0.15317969936418246
Cluster 1,1.0,2020,CP03,0.01849321099244277,-0.018097990000326403
Cluster 1,1.0,2020,CP04,0.04343420616950563,0.1520557570456534
Cluster 1,1.0,2020,CP05,0.024456924921364753,0.2122282418789856
Cluster 1,1.0,2020,CP06,0.006528474335566721,0.12854020073009428
Cluster 1,1.0,2020,CP07,0.043927816829485176,0.07863484040497358
Cluster 1,1.0,2020,CP08,0.006784424124905765,156.45123848582142
Cluster 1,1.0,2020,CP09,0.017598871471592635,0.07786805120024697
Cluster 1,1.0,2020,CP10,0.004395873150998,0.07105129909174336
Cluster 1,1.0,2020,CP11,0.018711421529532635,-0.21216163075713
Cluster 1,1.0,2020,CP12,0.022815870000374855,0.11237928808551392
Cluster 1,1.0,2020,_T,0.17142284410543282,3062.81022984444
Cluster 1,1.0,2021,CP01,0.0729466779174373,0.3915515901493724
Cluster 1,1.0,2021,CP02,0.009352037375435125,0.2078391027915543
Cluster 1,1.0,2021,CP03,0.021811179459079524,0.5687373848634467
Cluster 1,1.0,2021,CP04,0.04107889060408804,0.25796986565023056
Cluster 1,1.0,2021,CP05,0.027118448833115254,0.47484511493451553
Cluster 1,1.0,2021,CP06,0.007172804270163346,0.4613717203928388
Cluster 1,1.0,2021,CP07,0.05040336559839171,0.5261714918664004
Cluster 1,1.0,2021,CP08,0.00598594263389299,162.94551253098916
Cluster 1,1.0,2021,CP09,0.021887504175072032,0.6542259995230506
Cluster 1,1.0,2021,CP10,0.004596119267589354,0.39068752269482687
Cluster 1,1.0,2021,CP11,0.02411034865600367,0.7138788839516313
Cluster 1,1.0,2021,CP12,0.024462653980522126,0.4260999303255311
Cluster 1,1.0,2021,_T,0.16628256417340934,3199.7737560568544
Cluster 1,1.0,2022,CP01,0.08741816449153471,1.2070242004549379
Cluster 1,1.0,2022,CP02,0.008862220807424902,0.7452082726870017
Cluster 1,1.0,2022,CP03,0.0264692540963644,1.2349791822117362
Cluster 1,1.0,2022,CP04,0.046791518069214326,1.0977771921626627
Cluster 1,1.0,2022,CP05,0.03119160476837423,1.1182821427187275
Cluster 1,1.0,2022,CP06,0.008069927423989457,1.0720087216916188
Cluster 1,1.0,2022,CP07,0.06899658122642151,1.5210355252765089
Cluster 1,1.0,2022,CP08,0.004231258889572061,161.32184858279703
Cluster 1,1.0,2022,CP09,0.025862910399594048,1.1761663150371435
Cluster 1,1.0,2022,CP10,0.004260015028727181,0.7069891928370222
Cluster 1,1.0,2022,CP11,0.0331825106970494,1.5346423246095626
Cluster 1,1.0,2022,CP12,0.02869064973021151,1.1599701098509279
Cluster 1,1.0,2022,_T,0.15226208720330853,3181.79522753691
Cluster 1,1.0,2023,CP01,0.09492712016812443,0.7883380734628587
Cluster 1,1.0,2023,CP02,0.009639888678021428,0.7913912662543839
Cluster 1,1.0,2023,CP03,0.029072586415719637,0.8088517210242705
Cluster 1,1.0,2023,CP04,0.046121643704892606,0.6232994500681732
Cluster 1,1.0,2023,CP05,0.0318596930793615,0.6821505768761181
Cluster 1,1.0,2023,CP06,0.009039527449505312,0.8447482171954126
Cluster 1,1.0,2023,CP07,0.08194230366426236,0.9558772608138159
Cluster 1,1.0,2023,CP08,0.0037989811424571896,124.87669716272246
Cluster 1,1.0,2023,CP09,0.030080064555792516,0.9154127285626174
Cluster 1,1.0,2023,CP10,0.004625529881070563,0.7881805221937008
Cluster 1,1.0,2023,CP11,0.039712431905943396,0.9709619513422542
Cluster 1,1.0,2023,CP12,0.030558055658217183,0.7540676319965848
Cluster 1,1.0,2023,_T,0.14335656228170082,19123.008777062143
Cluster 1,1.0,2024,_T,0.25,1241.9445184649755
Cluster 2,2.0,2020,CP01,0.021062235376270284,27730.526196112634
Cluster 2,2.0,2020,CP02,0.007043822183692652,4835.017034799146
Cluster 2,2.0,2020,CP03,0.0060340499376541025,5957.62732285899
Cluster 2,2.0,2020,CP04,0.041245498396465935,47039.19977578344
Cluster 2,2.0,2020,CP041,0.008569032594794213,0.015045782693257986
Cluster 2,2.0,2020,CP042,0.02359117111412228,62097.96506206676
Cluster 2,2.0,2020,CP043,0.001098657890516137,0.013111279076867917
Cluster 2,2.0,2020,CP044,0.0021752206215705457,0.012273336115865431
Cluster 2,2.0,2020,CP045,0.006667054969512182,0.013505876566849971
Cluster 2,2.0,2020,CP05,0.008112129382846433,7283.7530200143665
Cluster 2,2.0,2020,CP06,0.005942072860208591,-0.03776718856571385
Cluster 2,2.0,2020,CP07,0.01694849744944558,-0.1076396018702565
Cluster 2,2.0,2020,CP08,0.004607846792863605,0.018143625519375435
Cluster 2,2.0,2020,CP09,0.012889166082241468,-0.07753301220451045
Cluster 2,2.0,2020,CP10,0.002126269922962724,7080.761406820631
Cluster 2,2.0,2020,CP11,0.01026366852438988,9934.80200942108
Cluster 2,2.0,2020,CP12,0.01817887773311332,-0.018158122069916693
Cluster 2,2.0,2020,_T,0.14239651793745922,147259.27106774767
Cluster 2,2.0,2021,CP01,0.02048278217232929,27812.483159806474
Cluster 2,2.0,2021,CP02,0.006821228847030266,4033.2897352960495
Cluster 2,2.0,2021,CP03,0.006366465430686648,5716.64987394295
Cluster 2,2.0,2021,CP04,0.04006312910382095,-0.051683736692458265
Cluster 2,2.0,2021,CP041,0.008195555232202834,0.014333168436483301
Cluster 2,2.0,2021,CP042,0.022991451679778105,62366.88024103355
Cluster 2,2.0,2021,CP043,0.0011430668772468996,0.03357229726908047
Cluster 2,2.0,2021,CP044,0.0021800810304241267,0.022447887087888255
Cluster 2,2.0,2021,CP045,0.006603064534758753,0.012488378402807207
Cluster 2,2.0,2021,CP05,0.008370833237538641,-0.021041197284377054
Cluster 2,2.0,2021,CP06,0.006261794871836465,0.07365755575804189
Cluster 2,2.0,2021,CP07,0.016838096107940466,0.02979749516979348
Cluster 2,2.0,2021,CP08,0.004397097040374588,0.008885075750625608
Cluster 2,2.0,2021,CP09,0.013163281410488793,0.045898410894177205
Cluster 2,2.0,2021,CP10,0.0021167025994229113,3496.8757687078814
Cluster 2,2.0,2021,CP11,0.011300616450078661,0.014132848736800895
Cluster 2,2.0,2021,CP12,0.018312517462930132,0.042043721581379735
Cluster 2,2.0,2021,_T,0.1424150181366547,197.8055915730498
Cluster 2,2.0,2022,CP01,0.018647393842602698,0.011036312014449332
Cluster 2,2.0,2022,CP02,0.007199001423474565,0.0014431679266786457
Cluster 2,2.0,2022,CP03,0.007230859391221892,0.07654149151584279
Cluster 2,2.0,2022,CP04,0.03967858522238824,0.02517257716993899
Cluster 2,2.0,2022,CP041,0.00763784668243913,0.022037763938964946
Cluster 2,2.0,2022,CP042,0.021681845974713586,0.018759568764510664
Cluster 2,2.0,2022,CP043,0.0010665595755281222,0.018150602950433543
Cluster 2,2.0,2022,CP044,0.00201057419882195,0.01406948994372318
Cluster 2,2.0,2022,CP045,0.006717341247187276,0.1015778349513211
Cluster 2,2.0,2022,CP05,0.008941761896202516,0.04457838969240072
Cluster 2,2.0,2022,CP06,0.005909591288416907,0.03815652000723315
Cluster 2,2.0,2022,CP07,0.018317371344342834,0.09663204919216382
Cluster 2,2.0,2022,CP08,0.0038892260184445644,0.02017437160367497
Cluster 2,2.0,2022,CP09,0.01414480963022279,0.11371901354770325
Cluster 2,2.0,2022,CP10,0.0018478442171875132,0.044264004732843504
Cluster 2,2.0,2022,CP11,0.01614980977914205,0.21006511154009566
Cluster 2,2.0,2022,CP12,0.0174880153284341,0.05486173958437791
Cluster 2,2.0,2022,_T,0.1449383589670384,273.11467846002796
Cluster 2,2.0,2023,CP01,0.014141873878163323,0.053216919492604736
Cluster 2,2.0,2023,CP02,0.005848920298788585,-8.765410366181996e-05
Cluster 2,2.0,2023,CP03,0.00736892452400736,0.014002307499213652
Cluster 2,2.0,2023,CP04,0.04315461265911473,0.06617066480043278
Cluster 2,2.0,2023,CP041,0.009095406922208903,0.047669602323393505
Cluster 2,2.0,2023,CP042,0.02632851103471371,0.02960705540889275
Cluster 2,2.0,2023,CP043,0.00033759379301801797,0.03642152552351752
Cluster 2,2.0,2023,CP044,0.0008282098529734631,0.025586091136441048
Cluster 2,2.0,2023,CP045,0.007017274295155994,0.16347264710492038
Cluster 2,2.0,2023,CP05,0.007770195490102359,-0.0009554181846290386
Cluster 2,2.0,2023,CP06,0.00566984721585633,0.051028715270665735
Cluster 2,2.0,2023,CP07,0.01946819136219785,0.07915534015323829
Cluster 2,2.0,2023,CP08,0.003472913554331675,0.010453432327766066
Cluster 2,2.0,2023,CP09,0.01386681202393088,0.016764476987575737
Cluster 2,2.0,2023,CP10,0.0031744533477093754,0.029902669364550563
Cluster 2,2.0,2023,CP11,0.022203083986262816,0.05089619413124581
Cluster 2,2.0,2023,CP12,0.019890224286797306,0.08806666761762946
Cluster 2,2.0,2023,_T,0.18490224533128485,459.06438390514876
Cluster 2,2.0,2024,CP01,0.028856094977630933,0.019456719793913755
Cluster 2,2.0,2024,CP02,0.010019642094946013,0.04762396694214876
Cluster 2,2.0,2024,CP03,0.015775922032344247,0.01045450518295384
Cluster 2,2.0,2024,CP04,0.08738084322683655,0.05274485109786902
Cluster 2,2.0,2024,CP041,0.02013907551733405,0.0812574265829231
Cluster 2,2.0,2024,CP042,0.054710941081619426,0.08566745483705264
Cluster 2,2.0,2024,CP043,0.0007775819276917969,-0.003292806484295846
Cluster 2,2.0,2024,CP044,0.0025437896201210932,0.09427065623937436
Cluster 2,2.0,2024,CP045,0.00920945508007019,-0.15343675070842114
Cluster 2,2.0,2024,CP05,0.015044777653066064,-0.035802031356855196
Cluster 2,2.0,2024,CP06,0.007080639296836714,0.05073016245381502
Cluster 2,2.0,2024,CP07,0.04204514915345337,0.025629654623894337
Cluster 2,2.0,2024,CP08,0.0065172629116145245,0.08729766261167705
Cluster 2,2.0,2024,CP09,0.03132499170052326,0.04380061895041812
Cluster 2,2.0,2024,CP10,0.008090408966596583,0.07189234474814117
Cluster 2,2.0,2024,CP11,0.03544726275352925,0.03663230161115092
Cluster 2,2.0,2024,CP12,0.04382756058618018,0.024315674257713818
Cluster 2,2.0,2024,_T,0.33141055535355773,0.03450758089786452
Cluster 3,3.0,2020,CP01,0.02595997281683126,296765.54353234585
Cluster 3,3.0,2020,CP02,0.004512243791356238,53250.74517729002
Cluster 3,3.0,2020,CP03,0.006503968198205333,81104.2950648003
Cluster 3,3.0,2020,CP04,0.02126035089316216,250088.63956563003
Cluster 3,3.0,2020,CP05,0.005569316563096661,67774.6276444275
Cluster 3,3.0,2020,CP06,0.010439609066737698,122839.41447440471
Cluster 3,3.0,2020,CP07,0.007138085718914057,-0.32688940228023966
Cluster 3,3.0,2020,CP08,0.00457020619453222,55158.95706019589
Cluster 3,3.0,2020,CP09,0.0075749796980218095,90767.46282035662
Cluster 3,3.0,2020,CP10,0.005223308136738191,59038.406231385605
Cluster 3,3.0,2020,CP11,0.011875108845067772,139301.44267327827
Cluster 3,3.0,2020,CP12,0.014281147752964768,166947.4468158183
Cluster 3,3.0,2021,CP01,0.024468396733973937,287812.10921112617
Cluster 3,3.0,2021,CP02,0.004490810840217026,57637.07084567499
Cluster 3,3.0,2021,CP03,0.007647761195851181,109297.02729015672
Cluster 3,3.0,2021,CP04,0.019079605316628074,253939.55639484696
Cluster 3,3.0,2021,CP05,0.005274591300762481,69769.5589717113
Cluster 3,3.0,2021,CP06,0.010801298463570313,141999.56164696306
Cluster 3,3.0,2021,CP07,0.008477677964231344,130399.49515571613
Cluster 3,3.0,2021,CP08,0.004320526718420492,65104.51329244592
Cluster 3,3.0,2021,CP09,0.009265370316174821,128359.53950454664
Cluster 3,3.0,2021,CP10,0.0045453785292014146,59457.06431101734
Cluster 3,3.0,2021,CP11,0.013294885853783576,176749.55470506058
Cluster 3,3.0,2021,CP12,0.013359918306743742,175227.06414366627
Cluster 3,3.0,2022,CP01,0.024466650715851013,255601.4086532915
Cluster 3,3.0,2022,CP02,0.004493523932761302,61854.73920799468
Cluster 3,3.0,2022,CP03,0.007916600152081,125783.82504974488
Cluster 3,3.0,2022,CP04,0.01717769366619566,249050.22679858492
Cluster 3,3.0,2022,CP05,0.005056615691255961,72351.83187523374
Cluster 3,3.0,2022,CP06,0.01007437651915285,143141.5242099146
Cluster 3,3.0,2022,CP07,0.009897553673227205,163346.2727929444
Cluster 3,3.0,2022,CP08,0.004113781023214607,75862.56323464721
Cluster 3,3.0,2022,CP09,0.010632607171840782,160996.25888314963
Cluster 3,3.0,2022,CP10,0.004237796033998597,60332.36030327951
Cluster 3,3.0,2022,CP11,0.014107696209904706,190028.1308354399
Cluster 3,3.0,2022,CP12,0.012986585971830479,187372.79295817495
Cluster 3,3.0,2023,CP01,0.02438245942137848,688870.421518206
Cluster 3,3.0,2023,CP02,0.004524551465023,72762.83768976256
Cluster 3,3.0,2023,CP03,0.006883731747745009,133520.7052147336
Cluster 3,3.0,2023,CP04,0.017555704004351004,615387.4903611725
Cluster 3,3.0,2023,CP05,0.004787699059057977,78677.2957282017
Cluster 3,3.0,2023,CP06,0.01067387419787421,336705.80612100114
Cluster 3,3.0,2023,CP07,0.00994099120395267,147059.07271873142
Cluster 3,3.0,2023,CP08,0.003977726610583824,84466.40170897702
Cluster 3,3.0,2023,CP09,0.011421174557862545,173050.85997648592
Cluster 3,3.0,2023,CP10,0.004434362204306178,81294.01830281503
Cluster 3,3.0,2023,CP11,0.013538598688431602,148177.77961410262
Cluster 3,3.0,2023,CP12,0.013065810970972185,395653.4169415223
